event_id,map_name,games,atk_win_pct,def_win_pct,agent,pick_rate_pct
3028,Sunset,8,45.0,55.0,gekko,0.0
3028,Sunset,8,45.0,55.0,deadlock,0.0
3028,Sunset,8,45.0,55.0,brimstone,0.0
3028,Sunset,8,45.0,55.0,miks,0.0
3028,Breeze,7,49.0,51.0,omen,0.0
3028,Breeze,7,49.0,51.0,sova,100.0
3028,Breeze,7,49.0,51.0,viper,71.0
3028,Breeze,7,49.0,51.0,neon,71.0
3028,Breeze,7,49.0,51.0,fade,0.0
3028,Breeze,7,49.0,51.0,cypher,29.0
3028,Breeze,7,49.0,51.0,phoenix,43.0
3028,Breeze,7,49.0,51.0,raze,0.0
3028,Breeze,7,49.0,51.0,jett,50.0
3028,Breeze,7,49.0,51.0,harbor,79.0
3028,Breeze,7,49.0,51.0,vyse,0.0
3028,Breeze,7,49.0,51.0,breach,0.0
3028,Breeze,7,49.0,51.0,waylay,0.0
3028,Breeze,7,49.0,51.0,chamber,0.0
3028,Breeze,7,49.0,51.0,killjoy,0.0
3028,Breeze,7,49.0,51.0,sage,0.0
3028,Breeze,7,49.0,51.0,kayo,29.0
3028,Breeze,7,49.0,51.0,skye,0.0
3028,Breeze,7,49.0,51.0,clove,21.0
3028,Breeze,7,49.0,51.0,yoru,0.0
3028,Breeze,7,49.0,51.0,astra,0.0
3028,Breeze,7,49.0,51.0,iso,7.0
3028,Breeze,7,49.0,51.0,reyna,0.0
3028,Breeze,7,49.0,51.0,tejo,0.0
3028,Breeze,7,49.0,51.0,veto,0.0
3028,Breeze,7,49.0,51.0,gekko,0.0
3028,Breeze,7,49.0,51.0,deadlock,0.0
3028,Breeze,7,49.0,51.0,brimstone,0.0
3028,Breeze,7,49.0,51.0,miks,0.0
3028,Split,6,41.0,59.0,omen,83.0
3028,Split,6,41.0,59.0,sova,0.0
3028,Split,6,41.0,59.0,viper,83.0
3028,Split,6,41.0,59.0,neon,50.0
3028,Split,6,41.0,59.0,fade,75.0
3028,Split,6,41.0,59.0,cypher,17.0
3028,Split,6,41.0,59.0,phoenix,25.0
3028,Split,6,41.0,59.0,raze,42.0
3028,Split,6,41.0,59.0,jett,8.0
3028,Split,6,41.0,59.0,harbor,0.0
3028,Split,6,41.0,59.0,vyse,0.0
3028,Split,6,41.0,59.0,breach,33.0
3028,Split,6,41.0,59.0,waylay,25.0
3028,Split,6,41.0,59.0,chamber,0.0
3028,Split,6,41.0,59.0,killjoy,0.0
3028,Split,6,41.0,59.0,sage,0.0
